,product,price
0,https://www.amazon.com.br/el%C3%A9trica-Electrolux-silenciosa-seguran%C3%A7a-pr%C3%A9-programadas/dp/B076HYKFL7/ref=sr_1_5?crid=23L2X88EQ935A&dib=eyJ2IjoiMSJ9.0uc1lYLJ2eW8331PMO3hgvT7ikyiTXEyauNlB56Qyp7RzkU4HJSVIqKjHt4JGJvdsQbkdUVboXG3x071Rq9wynDtz3X6j5S7Odt5eGUTDuR__ovWdnnH5r6GMJY9V5-XV2uK_Ubd4kf-5zJT-maBj9BL8bDGl6EpNcwOn8CtCuB3uFA-CKWameka00L5hRMVxYTThpi5n0amMn7c6CAQc61Av3Lboo0S0Tf9gh1K-cQXepNiDiOURHT138nNeTzUBAlsEADsSQNtHdTyANNowMJZz2bnsnFQ9qgs54ETwk8.nuF2LwxT3b_50fihrXfxQX-ZI5456K66EWe7dV7cUi8&dib_tag=se&keywords=panela+de+pressao+eletrica&qid=1712689590&sprefix=panela+de+press%2Caps%2C553&sr=8-5&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,739.90
1,https://www.amazon.com.br/Processador-AMD-Ryzen-5600G-Stealth/dp/B092L9GF5N/ref=sr_1_1?crid=2VJAJ7Z0WQUYO&dib=eyJ2IjoiMSJ9.co4AgXCU9z2XCs8JPVFNyUEB9Gwrr-Pzb3nm6ADKFAX1J5C_pb6N2BHAMe2BK1iql31T13O1r--KNp-FMY8IVr6BNNlUp1TjB1QW1cUpliQB1l3lz5D2nxAT7tWrN2PQM822abLohqosgOJCgAR0jGUbzH8Rlq2UwSCx49cMGLtjAFsPPxl7rLdvm-KLuM7cjzGFyk2RI0KhTwRXH2CDdWYIXtl_k82MyGueDQVArAzbRncmyIoz7OywfskT5wtd1WXpyUY2ISPtmsYPggUqKB97twD9Z9LPrWv4jGL7f5k.2YQJRYzTlsSvl_99k0MtlbvXUbkZVsCqsj5bgz57Pws&dib_tag=se&keywords=ryzen+5+5600g&qid=1712692890&sprefix=ryze%2Caps%2C295&sr=8-1&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,1665.56
2,https://www.amazon.com.br/Echo-Pop-Cor-Preta/dp/B09WXVH7WK/ref=pd_rhf_ee_s_gccp_rtpb_d_sccl_2_3/130-5293638-4662938?pd_rd_w=FckjC&content-id=amzn1.sym.8f482d24-4bbc-471a-bdbc-09acc168ae3c&pf_rd_p=8f482d24-4bbc-471a-bdbc-09acc168ae3c&pf_rd_r=31X4GTT6THFAMECMPJ9S&pd_rd_wg=vSa7w&pd_rd_r=35a54491-4288-4338-acb0-0d4a0284d8a0&pd_rd_i=B09WXVH7WK,349
